,상품명,가격
411,연천 연주,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)"
412,연천 우주,"￦8,500 (가격은 판매처 별로 상이할 수 있습니다)"
413,영일만친구,"￦8,500 (가격은 판매처 별로 상이할 수 있습니다)"
414,예담은 한산소곡주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
415,예밀와인 레드 드라이,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
416,예밀와인 레드 스위트,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
417,예밀와인 로제,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
418,예주,"￦29,000(가격은 판매처 별로 상이할 수 있습니다.)"
419,예천주 사월24,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)"
420,예천주 사월365,"￦29,000 (가격은 판매처 별로 상이할 수 있습니다)"
421,예천주복 만월24,"￦12,800 (가격은 판매처 별로 상이할 수 있습니다)"
422,예천주복 만월40,"￦19,200 (가격은 판매처 별로 상이할 수 있습니다)"
423,예화,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
424,옛날 막걸리 古,"￦2,700원(※ 가격은 판매처 별로 상이할 수 있습니다)"
425,오가피와인,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
426,오곡 진상주,-
427,오디랑,"￦4,000(가격은 판매처 별로 상이할 수 있습니다)"
428,고구마 아락,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
429,울진의 언어,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
430,오매락퍽,"￦52,000(가격은 판매처 별로 상이할 수 있습니다.)"
431,오매락퍽,"￦52,000(가격은 판매처 별로 상이할 수 있습니다.)"
432,오매백주,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)"
433,오메기 맑은술,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
434,오메기 술,"￦13,000 (가격은 판매처 별로 상이할 수 있습니다.)"
435,오목대,"￦27,000(1000ml*3병)(가격은 판매처 별로 상이할 수 있습니다)"
436,오미로제 스파클링와인,"￦27,000(1000ml*3병)(가격은 판매처 별로 상이할 수 있습니다)"
437,오미로제 연,"50,000원 (판매처별로 가격이 다를 수 있습니다.)"
438,오미로제 프리미어와인,"￦39,000(가격은 판매처 별로 상이할 수 있습니다.)"
439,오미시앙 스페셜,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
440,오미자 생막걸리,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다.)"
441,오산막걸리,"￦3,000 (가격은 판매처 별로 상이할 수 있습니다)"
442,오크,"￦3,000 (가격은 판매처 별로 상이할 수 있습니다)"
443,오희 스파클링 막걸리,"￦36,000(500ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
444,당진막걸리,"￦36,000(500ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
445,왕율주,"￦8,000(가격은 판매처 별로 상이할 수 있습니다.)"
446,왕피천을 품은 미소생막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
447,우곡생주,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다)"
448,부자 우곡주,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다)"
449,우도 땅콩 전통주,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
450,우도 땅콩 전통주,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
451,우렁이쌀 손 막걸리,"￦39,000원 1박스 15개입 (가격은 판매처 별로 상이할 수 있습니다.)"
452,우렁이쌀 손 막걸리,"￦39,000원 1박스 15개입 (가격은 판매처 별로 상이할 수 있습니다.)"
453,향수 우리밀 막걸리,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)"
454,경상 · 대구 · 부산 · 울산 지역 술 ,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)"
455,원매,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)"
456,원매,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)"
457,원매 프리미엄,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)"
458,원매 프리미엄,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)"
459,원조 한산소곡주,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다)"
460,월매 쌀막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
461,"아메리칸 빈티지, 레드와인 2018 ",가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
462,유기농 이도14,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
463,유기농 이도 42,"￦42,000 (가격은 판매처 별로 상이할 수 있습니다.)"
464,유기농 이도14,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
465,고흥 유자밭과 소록도,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
466,윤계연의 형수 유인 신씨의 육십일 세를 축하하는 서 ,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
467,율무 동동주,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)"
468,은자골 생 탁배기,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
469,이담,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)"
470,이동 생 쌀 막걸리,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
471,이상헌 탁주,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)"
472,이상헌 약주,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)"
473,세종 생막걸리,"￦45,000 (가격은 판매처 별로 상이할 수 있습니다)"
474,이화백주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
475,이화주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
476,수원에서 완성한 #닭스타그램,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
477,배꽃담은 연 생막걸리,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
478,인천 생 소성주,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
479,일엽편주,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
480,일엽편주,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
481,일엽편주,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
482,봄을 알리는 매화,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
483,입술,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)"
484,입장탁주,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
485,자두와인,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
486,자연담은 복분자막걸리,"￦56,000(360ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
487,자연송이주,가격은 판매처 별로 상이할 수 있습니다.
488,자희향,"￦16,000 (가격은 판매처 별로 상이할 수 있습니다.)"
489,자희향 국화주,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
490,자희향 나비,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다.)"
491,장수 생 막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
492,장수 오미자주,"￦5,400 (가격은 판매처 별로 상이할 수 있습니다)"
493,장홍삼 장수 막걸리,"￦2,000(가격은 판매처 별로 상이할 수 있습니다.)"
494,정고집 나주배 약주 15%,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)"
495,정고집 나주배 약주 9%,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
496,제주 도련동 귤나무류,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
497,"낭만 제주에 가을 감성 더하기, 제주 책방 여행 ","￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
498,"제주를 마셔요, 서남권 카페 여행","￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
499,제주 지역 술,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)"
500,젤코바 스페셜와인,"375ml ￦17,000, 
                                        500ml ￦25,000, 
                                        750ml ￦36,000 (가격은 판매처 별로 상이할 수 있습니다)"
501,젤코바 캠벨와인,"￦62,500 (가격은 판매처 별로 상이할 수 있습니다)"
502,젤코바 프리미엄와인,"500ml ￦33,000, 
                                        750ml ￦50,000 (가격은 판매처 별로 상이할 수 있습니다)"
503,조선주조사,"300ml ￦4,000, 
                                        700ml ￦9,000 (가격은 판매처 별로 상이할 수 있습니다)"
504,주몽 복분자주,"￦5,000(가격은 판매처 별로 상이할 수 있습니다.)"
505,주산지 막걸리,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다)"
506,회연서원,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다)"
507,네이멍구자치구,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다)"
508,죽력고,"￦60,000(가격은 판매처 별로 상이할 수 있습니다.)"
509,죽향 생막걸리,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다)"
510,옥천군,"￦2,000 (가격은 판매처 별로 상이할 수 있습니다)"
511,줄포 생 막걸리,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
512,지란지교,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
513,술의 부재료,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)"
514,강쇠,"￦2,500(가격은 판매처 별로 상이할 수 있습니다.)"
515,지리산 정담 생쌀 막걸리,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
516,지리산 허브잎 술,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
517,지장수 호박 생 막걸리,"￦1,400 (가격은 판매처 별로 상이할 수 있습니다.)"
518,지장수 호박 막걸리,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다.)"
519,지평 생 쌀막걸리 (700ml),"￦1,650 (가격은 판매처 별로 상이할 수 있습니다.)"
520,지평 생 옛막걸리,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다.)"
521,진도홍주 루비콘,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
522,진도홍주 루비콘,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
523,진도 홍주,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
524,진맥소주,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
525,진맥소주 22%,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)"
526,진심 홍삼 인삼주,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다)"
527,진쾌남,"￦8,500(가격은 판매처 별로 상이할 수 있습니다.)"
528,칭기즈칸,"￦8,500(가격은 판매처 별로 상이할 수 있습니다.)"
529,참동이 허브잎 술,"￦8,500(가격은 판매처 별로 상이할 수 있습니다.)"
530,해창 생 막걸리 12도,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
531,해창 생막걸리 9도,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
532,천마 이야기 막걸리,"￦1,500(가격은 판매처 별로 상이할 수 있습니다.)"
533,천매,"￦130,000(가격은 판매처 별로 상이할 수 있습니다.)"
534,천비향 오양주 약주,"￦40,000(가격은 판매처 별로 상이할 수 있습니다.)"
535,천비향 오양주 탁주,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
536,천비향 화주,"￦50,000(가격은 판매처 별로 상이할 수 있습니다.)"
537,천안 연미주,"￦5,000(가격은 판매처 별로 상이할 수 있습니다.)"
538,청명주 500,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)"
539,청명주 750,"￦36,000(가격은 판매처 별로 상이할 수 있습니다.)"
540,청세주,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)"
541,청양 둔송 구기주,"￦23,000(700ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
542,청주 신선주,"￦23,000(700ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)"
543,청진주,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
544,주정강화 와인의 제작,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
545,초선의 꿈 (로제),"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)"
546,추사 로제,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
547,추사블루,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
548,추사 애플와인,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
549,추사40,"￦60,000(가격은 판매처 별로 상이할 수 있습니다.)"
550,노고산 독재동 추사 필적 암각문,"￦60,000(가격은 판매처 별로 상이할 수 있습니다.)"
551,황금보리소주40,"￦78,500(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)"
552,추성주,"￦78,500(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)"
553,와인 아로마 - 커피,"￦78,500(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)"
554,"코이버펑크, 머스캣 베일리 에이 2017 ",가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
555,"코이버펑크, 샤르도네 세미용 2018 ",가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
556,컬트 카베르네 소비뇽 2019,가격정보없음 (판매처별로 가격이 다를 수 있습니다.)
557,쿨샷7.5,"￦60,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
558,40주년,"￦60,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
559,타미앙스,"￦50,000 (가격은 판매처 별로 상이할 수 있습니다.)"
560,"환경과 경제, 두 마리 토끼를 잡는 ‘빈용기보증금제도’ ","￦50,000 (가격은 판매처 별로 상이할 수 있습니다.)"
561,톡 한잔 소주,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)"
562,톡 쏘는 알밤동동,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
563,톡쏘는 쌀막걸리,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
564,톡 쏘는 알밤동동,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
565,톡 쏘는 알밤동동,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)"
566,티나(TINA),"￦54,000 (가격은 판매처 별로 상이할 수 있습니다)"
567,성포 생막걸리,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)"
568,기주떡,"￦1,100 (가격은 판매처 별로 상이할 수 있습니다)"
569,편백숲 산소막걸리,"￦1,900 (가격은 판매처 별로 상이할 수 있습니다)"
570,편백숲 산소막걸리 딸기스파클링,"￦41,000 (가격은 판매처 별로 상이할 수 있습니다)"
571,편백숲 산소막걸리 순수령,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)"
572,편백숲 산소막걸리 딸기스파클링,"￦41,000 (가격은 판매처 별로 상이할 수 있습니다)"
573,포엠 화이트와인,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
574,포엠 화이트와인,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
575,청송 불로주,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)"
576,풍정사계 동(冬),"￦25,000(25%), 
                                        ￦35,000(42%)(가격은 판매처 별로 상이할 수 있습니다.)"
577,풍정사계 추(秋),"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)"
578,풍정사계 춘(春),"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
579,한스오차드 사과와인,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
580,필,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
581,필,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
582,하얀 까마귀,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
583,생 하얀연꽃 백련 막걸리,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
584,백련 맑은술,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
585,생 하얀연꽃 백련 막걸리,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
586,하향주(양주방 외),"￦7,000 (가격은 판매처 별로 상이할 수 있습니다.)"
587,한비 동충하초술,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
588,한비 무병장수술,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
589,한비 쌀소주,"￦30,000(375ml), ￦40,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
590,한비 오가피술,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
591,한비 오가피술,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)"
592,예담은 한산소곡화주,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
593,한산소곡주 360ml,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다.)"
594,예담은 한산소곡화주,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)"
595,한스오차드 사과와인,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)"
596,한주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
597,해남 진양주,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)"
598,해방주 38%,"￦45,000(800ml38%)(가격은 판매처 별로 상이할 수 있습니다)"
599,해창 생막걸리 9도,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
600,생 행운 동동주,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
601,허니문,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
602,"강지영, 허니비","￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
603,헤베,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다.)"
604,호담 300ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
605,호담 산양산삼 막걸리,"￦16,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다.)"
606,잣막걸리,"￦16,000(750ml*9병)(가격은 판매처 별로 상이할 수 있습니다.)"
607,호랑이 생 막걸리,"￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)"
608,"선사시대와 우주세계가 이웃하는 곳, 고흥 시호도&외나로도 ","￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)"
609,호모 루덴스,"￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)"
610,혼,"￦2,200 (가격은 판매처 별로 상이할 수 있습니다.)"
611,혼디주,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)"
612,홍삼명주 375ml,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)"
613,감그린 아이스와인,"￦89,000(가격은 판매처 별로 상이할 수 있습니다.)"
614,홍천강 탁주,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)"
615,화주,"￦13,000(가격은 판매처 별로 상이할 수 있습니다.)"
616,황진이주,"￦13,000(가격은 판매처 별로 상이할 수 있습니다.)"
617,희양산막걸리 9%,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)"
618,희양산막걸리 9%,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)"
