,전통주이름
0,1000억 유산균 막걸리
1,1932 새싹땅콩+햅쌀/흑미
2,2017년 햅쌀로 빚은 첫술
3,52C
4,DOK막걸리
5,G12 골디락스
6,SSOA-포도
7,The 찾을수록
8,가야 프리미엄 막걸리
9,가야곡왕주
10,가평 잣 생막걸리
11,각시탈
12,감그린 레귤러
13,감그린 스페셜
14,감그린 아이스와인
15,감사
16,감사블루
17,감아락 25
18,감악산 산머루주
19,감이슬
20,감자술 13%
21,강소주
22,걍즐겨
23,겨울소주 25
24,경기전
25,경산대추약주 추
26,경성과하주
27,경주교동법주
28,계룡백일주 40%
29,계룡산 산삼주 금수강산 21%
30,계룡산 산삼주 금수강산 40%
31,고도리 레드와인 스위트
32,고도리 로제와인
33,고도리 복숭아와인
34,고도리 샤인머스캣 화이트와인
35,고도리 아이스와인(아이스 375)
36,고도리 징기스칸 브랜디
37,고도리 청수 와인
38,고도리 화이트와인 드라이
39,고도리 화이트와인 스위트
40,고소리술
41,고운달 백자
42,고운달 오크
43,고창선운산 땡큐복분자주
44,고창선운산 땡큐블루베리주
45,고창선운산 복분자주 특1호
46,고향생막걸리
47,고향인삼막걸리
48,고흥유자주 봄에디션
49,곤드레생막걸리
50,공주알밤 왕밤주
51,공주애 오디와인
52,과천미주
53,과하주23
54,관악산생막걸리
55,광양 생 막걸리
56,광양 생 막걸리 골드
57,괴산 세종 찰옥수수 전통주
58,구기홍주 14
59,구름을 벗삼아
60,구암대추막걸리
61,국순당 생막걸리 대박
62,국순당 이화주
63,귀감
64,그랑꼬또 M56
65,그랑꼬또 레드와인
66,그랑꼬또 로제와인
67,그랑꼬또 청수
68,그랑티그르 CE2002
69,그랑티그르 M1988
70,그리움
71,금과 명주
72,금산인삼백주
73,금산인삼주 12.5%
74,금산인삼주 수삼 500
75,금설
76,금정산성막걸리
77,금풍양조
78,금휘
79,기다림 16
80,기다림 25
81,기다림 34
82,기다림 맑은술
83,김수한무
84,김포 막걸리
85,김포별주
86,김포약주
87,김포예주
88,김포예주 프리미엄
89,김포특주
90,까메오 막걸리
91,꽃 와인
92,꿀막걸리
93,꿀샘 16
94,끌로너와 스위트와인
95,나 와인
96,나루 생 막걸리 11.5도
97,나루 생 막걸리 6도
98,남산애 레드와인
99,남산애 포트와인
100,남한산성소주
101,내장산 복분자주 지통1호
102,냥이탁주 9도
103,냥이탁주 fresh
104,너와머루와인
105,노미
106,녹고의 눈물
107,녹천 소곡화주 480ml
108,녹천 소곡화주 500ml
109,녹파주
110,느낌 19.8
111,느낌 30
112,느린마을 막걸리
113,느린마을 약주
114,느린마을 증류주
115,느린마을소주21
116,능이주
117,니모메
118,님 그리다
119,다래와인 3004
120,다래와인 7004D
121,다래와인 7004S
122,다랭이팜 생막걸리
123,다랭이팜 유자 막걸리
124,달 1614 스위트와인
125,달홀진주25
126,달홀진주40
127,담솔
128,담양 죽력고
129,담은
130,당당하리
131,대관람차
132,대관령 복분자주
133,대대포 막걸리
134,대윤 가야곡 왕주
135,대잎술
136,대장부23
137,대통대잎술
138,대통주
139,도구막걸리
140,도깨비술 11
141,도깨비술 7
142,도깨비술 9
143,도로시 머루주
144,도문대작 생막걸리
145,도원결의
146,독산 53
147,동강더덕주
148,동래아들
149,동몽
150,"동백꽃, 제주"
151,동백우리쌀생막걸리
152,동정춘
153,동짓달 기나긴 밤
154,동학 1957
155,동해동동주
156,두레앙 일반증류주
157,두레앙22
158,두레앙목통숙성주
159,두레앙와인
160,두륜탁주
161,두리향
162,딸링 막걸리
163,라이스퐁당
164,라이코펜 토마토와인
165,레돔 내추럴 스파클링 로제와인
166,레돔 시드르
167,레드 와인 500
168,레드듀 RED DEW
169,려
170,로아19레드
171,로아19옐로우
172,로아19화이트
173,로아40 레드
174,로아40 옐로우
175,로아40퍼플
176,로아40화이트
177,로얄 안동소주
178,로제 와인 750
179,로제와인
180,루드베리
181,르깔롱
182,마주 소곡주
183,마주 소곡화주
184,막시모 40
185,만강에 비친 달
186,만품 산삼가득
187,말이야 막걸리야
188,맑은 문희주
189,맑은내일 Winery 단감명작
190,맑은내일 발효 막걸리
191,맑은내일 스파클링 막걸리
192,맑은내일 우포
193,맑은내일 운암1945
194,맑은바당
195,맑은술 해밀
196,매실 막걸리
197,매실원주 허니
198,매실탁테일
199,매실향기 담은 술
200,매아랑
201,매화깊은밤
202,매화마름
203,매화마름 호랑이 막걸리
204,머루이야기
205,메로니아
206,메로니아
207,메밀로
208,메밀이슬
209,멜론서리
210,면천두견주 360
211,면천두견주 700
212,명가원 복분자술
213,명랑 스컬
214,명인 안동소주
215,명인 안동소주 22%
216,명인 안동소주 양반탈
217,명인 안동소주 하회탈
218,명인 홍삼주
219,명작복분자
220,명품홍주
221,모든날에
222,모리
223,모월 로
224,모월 연
225,모월 인
226,모월 청
227,모월로미니
228,모월인미니
229,모을동주 약주
230,무주구천동머루와인
231,무주구천동산머루주
232,문경바람 백자 25
233,문경바람 백자 40
234,문경바람 오크
235,문배술
236,문배술 헤리티지 25도
237,문배술 헤리티지 40도
238,문삼이공(moon320) 잣 주
239,문희 탁주
240,미담
241,미르
242,미르아토 로제와인
243,미르아토 증류주 tears of god
244,미르아토 청수 스위트 (화이트)와인
245,미상25
246,미생 막걸리
247,미소 생막걸리
248,미소 아이스
249,미인약주
250,미인탁주
251,민들레대포
252,민속주 안동소주
253,바나나 주
254,바랑 탁
255,밤꽃향기
256,밤빛머루
257,방문주 약주
258,방문주 탁주
259,배꽃 필 무렵
260,배꽃담은연
261,배도가 로아 40도 옐로우
262,배도가 심플리 애플
263,백년친구 쌀막걸리
264,백년친구 풍기홍삼막걸리
265,백년향
266,백련 맑은술
267,백련 생막걸리 snow (스노우)
268,백수환동주
269,백운 복분자 와인
270,백운복분자주
271,백이주
272,백자주
273,백제한산군주
274,뱅꼬레 레드와인
275,뱅꼬레 로제와인
276,뱅꼬레 아이스와인
277,뱅꼬레 화이트와인
278,베리와인1168 스위트와인
279,베베마루 설레임 로제 스위트와인
280,베베마루 캠밸로제
281,베베마루 캠벨로제 스위트
282,별바랑
283,별산막걸리
284,별산오디 스파클링 막걸리
285,병영설성 동동주
286,병영설성 생막걸리
287,병영설성사또
288,병영소주
289,보리수헤는밤
290,보성 강하주
291,복단지
292,복단지 350
293,복분자아락40
294,복분자음
295,복분자주 360
296,복순도가 손막걸리
297,복순도가 약주
298,복순도가 탁주
299,복숭아와인
300,볼빨간막걸리 10
301,볼빨간막걸리 7
302,볼빨간미자
303,봇뜰 막걸리 10도
304,봉하쌀 생막걸리
305,부안참뽕막걸리
306,부안참뽕와인
307,부자
308,부자 송산포도
309,부자진 배치#0001
310,부자진 오미자 진
311,북극곰 막걸리
312,불로생우리쌀막걸리
313,불소곡주
314,붉은 원숭이
315,블루베리 이야기
316,빙탄복
317,빨간쌀막걸리
318,사과와인
319,사미인주
320,사시통음주
321,사십오도
322,사임주
323,산내울 복분자주
324,산내울 사과애주
325,산내울 오미자주
326,산막 생유 막걸리
327,산막생대덕주
328,산막와이너리 증류주 환희
329,산머루 크라테 드라이
330,산머루 크라테 로제
331,산머루 크라테 스위트
332,산머루와인 깊은맛 드라이
333,산머루와인 달콤한 스위트
334,산삼가득 명술
335,산정호수 동정춘막걸리
336,산천어막걸리
337,삼선
338,삼양춘 생약주
339,삼양춘 생탁주
340,삼양춘 스파클링
341,삼양춘 청주
342,삼해소주
343,새송이 쌀막걸리 정
344,생 청주 막걸리
345,생탁주
346,샤토미소 랑
347,샤토미소 레드 드라이
348,샤토미소 레드 스위트
349,샤토미소 로제스위트와인
350,샤토미소 아이스와인
351,샤토미소 영동
352,샤토미소 웨딩 자두와인
353,샹스프랑보아즈
354,서설
355,서울의 밤
356,서주 16%
357,석로주
358,석탄주 약주
359,석탄주 탁주
360,선비 보드카
361,선비 진
362,선운산 복분자와인
363,선운산 복분자주
364,선운산 복분자주 프리미엄
365,선운산의 아침 복분자 막걸리
366,선호 생막걸리
367,설궁
368,설련주
369,설성 만월 막걸리
370,설하담
371,성읍민속마을 오메기술
372,성포 생막걸리
373,세오녀탁주
374,세우리
375,세인트하우스 모과와인
376,세인트하우스 살구와인
377,세종 쌀막걸리
378,세종 알밤주
379,세종 오가닉
380,세종대왕어주 약주
381,세종대왕어주 탁주
382,세종청주생막걸리
383,소계리 595 스위트 레드와인
384,소나무와 학
385,소백산(샤토소백) 스위트 레드와인
386,소양강 생 막걸리
387,소여강
388,소여강 25%
389,소호
390,손가네 태종대 개똥쑥생막걸리
391,솔송주
392,송로주
393,송명섭 막걸리
394,송이주
395,송화백일주
396,수삼단본 720
397,수성 프리미엄 백주43
398,순향주
399,술공방 9.0 막걸리
400,술그리다 생탁주
401,술샘16
402,술샘19
403,술아 국화주
404,술아 매화주
405,술아 순곡주
406,술아 연화주
407,술아 핸드메이드 막걸리
408,술예쁘다 생탁주
409,술취한 원숭이
410,술헤는밤
411,스타베리오디
412,스파클링와인
413,스파클링와인 오미로제 결
414,시나브로 드 글로리아
415,시나브로 레드 드라이
416,시나브로 레드 스위트
417,시나브로 로제와인
418,시나브로 에뚜왈 로제 스파클링
419,시나브로 에뚜왈 화이트 스파클링와인
420,시나브로 청수 화이트
421,시인의마을
422,시향가
423,시향가 미니캔막걸리
424,신례명주
425,신선주
426,신애유자
427,심술 10
428,심술 7
429,심술 알쓰
430,심술6 막걸리
431,씨(C) 그린막걸리
432,씨(C) 막걸리 시그니처 큐베
433,씨(C) 옐로막걸리
434,아띠
435,아리아리
436,아우내
437,아이스 375
438,아이싱 자몽
439,아이엠더문
440,아이원 막걸리
441,아임프리
442,아임프리6.0
443,아황주
444,악양생막걸리
445,안동소주 일품 17도
446,안동소주 일품 21도
447,안동소주 일품 40도 골드
448,안성맞춤 생막걸리
449,안양동동주
450,애석
451,애피소드 상그리아
452,애피소드 애플
453,애피소드호프
454,야관문 쌀 막걸리
455,양조학당 뜰
456,양지백주
457,양촌 생 동동주
458,양촌 생 막걸리
459,양촌 우렁이쌀 청주
460,어우야
461,얼떨결에
462,엄청주
463,에델 미디움 스위트와인
464,에델 스위트와인
465,여민락주
466,여포의 꿈 (화이트)
467,여포의 꿈 레드(Dry)
468,여포의 꿈 레드(SWEET)
469,역전주
470,연오랑탁주
471,연천 아주
472,연천 연주
473,연천 우주
474,영일만친구 막걸리
475,영탁막걸리
476,예담은 한산소곡주
477,예밀와인 레드 드라이
478,예밀와인 레드 스위트
479,예밀와인 로제
480,예술주조 `무작`
481,예주
482,예천주 사월24
483,예천주 사월365
484,예천주복 만월24
485,예천주복 만월40
486,예화
487,옛날막걸리 古
488,오 마이 갓
489,오가피와인
490,오계리 아이스와인
491,오곡 진상주
492,오드린 베베마루 아내를 위한
493,오디랑
494,오디아락40
495,오디여라
496,오매락
497,오매락퍽
498,오매백주
499,오메기 맑은술
500,오메기술
501,오목대
502,오미로제 스파클링 와인
503,오미로제 연
504,오미로제 프리미어와인
505,오미시앙 스페셜
506,오미자 생막걸리
507,오산막걸리
508,오크와인
509,오희 스파클링 막걸리
510,왕매실 막걸리
511,왕율주
512,왕피천을 품은 미소생막걸리
513,요새로제
514,우곡생주
515,우곡주
516,우도 땅콩 전통주
517,우도땅콩전통주
518,우렁이쌀 손 막걸리
519,우렁이쌀 손막걸리 DRY
520,우리밀 막걸리 향수
521,울금생막걸리 정
522,원매
523,원매
524,원매 프리미엄
525,원매 프리미엄
526,원조소곡주
527,월매 쌀막걸리(캔)
528,위 (we)레드 (2018)와인
529,유기농 이도 32
530,유기농 이도 42
531,유기농이도 14
532,유자향주
533,육십일도
534,율무 동동주
535,은자골 생 탁배기
536,의림소주
537,이담
538,이도 22
539,이동 생 쌀 막걸리
540,이상헌 소주
541,이상헌 약주
542,이천쌀생막걸리
543,이화백주 순탁주
544,이화주
545,인사이더 블루베리
546,인생막걸리
547,인어교주해적술
548,인천 생 소성주
549,일엽편주
550,일엽편주
551,일엽편주
552,일지춘
553,입술
554,입장탁주
555,자두와인
556,자연담은 복분자막걸리
557,자연송이주
558,자희향
559,자희향 국화주
560,자희향 나비
561,장수 생막걸리
562,장수 오미자주
563,장수홍삼주
564,장홍삼 장수 막걸리
565,정감생막걸리
566,정고집 나주배 약주 15%
567,정고집 나주배 약주 9%
568,제주감귤주 귤로만
569,제주낭만
570,제주몬순커피주
571,제주술익는집 고소리술
572,젤코바 스페셜와인
573,젤코바 캠벨와인
574,젤코바 프리미엄 와인
575,조선주조사
576,주교주
577,주몽복분자주
578,주산지 막걸리
579,주향담을
580,주향아라
581,주홍춘
582,죽력고
583,죽향 생 막걸리
584,죽향41
585,줄포 생막걸리
586,지란지교
587,지란지교 무화과 탁주
588,지란지교 약주
589,지리산 강쇠
590,지리산 정담 생쌀 막걸리
591,지리산 허브잎술 쌀 막걸리
592,지장수 호박 생 막걸리
593,지장수 호박막걸리
594,지평 생 쌀막걸리
595,지평 생 옛막걸리
596,지평 이랑이랑
597,진도홍주 루비콘
598,"진도홍주 아라리35%, 루비콘40%"
599,"진도홍주, 만홍"
600,진맥 소주
601,진맥소주 22%
602,"진심홍삼인삼주 38%, 19%"
603,진쾌남
604,징기스칸
605,참동이 허브잎술
606,찹쌀 생막걸리 12도
607,찹쌀생막걸리 9도
608,천마이야기 막걸리
609,천매
610,천비향 오양주 약주
611,천비향 오양주 탁주
612,천비향 화주
613,천안연미주
614,천지향 증류주
615,청명주
616,청명주 750
617,청세주
618,청양둔송구기주
619,청주신선주탁주
620,청진주
621,초련 주정강화 와인
622,초선의 꿈
623,추사 로제
624,추사 블루베리 와인
625,추사 애플와인
626,추사40
627,추사47
628,추사백25
629,추사백40 사과 증류식 소주
630,추성주
631,커피냑
632,커피와인 톡시
633,"코이버펑크, 머스캣 베일리 에이 2017"
634,"코이버펑크, 샤르도네 세미용 2018"
635,"코이버펑크, 카베르네 소비뇽 2019"
636,쿨샷 7.5
637,키위술
638,타락40
639,타미앙스
640,토끼 소주
641,토끼구름
642,톡 한잔 소주
643,톡쏘는 고구마동동
644,톡쏘는 쌀 막걸리
645,톡쏘는 알밤동동
646,톡쏘는 옥수수동동
647,티나(TINA)
648,팔공산미나리 생막걸리
649,팔팔막걸리
650,편백숲 산소막걸리
651,편백숲 산소막걸리 딸기 스파클링
652,편백숲 산소막걸리 순수령
653,편백숲 산소막걸리 순수령 8%
654,편백숲 산소막걸리 스파클링
655,포엠 로제와인
656,포엠 화이트와인
657,포항불로주
658,풍정사계 동(冬)
659,풍정사계 추(秋)
660,풍정사계 춘(春)
661,프리미엄 애플와인 한스오차드
662,필
663,필
664,하얀까마귀
665,하얀연꽃 백련막걸리
666,하얀연꽃 백련맑은 술
667,하얀연꽃 백련생막걸리
668,하향주
669,한강의설레임
670,한비 동충하초술
671,한비 무병장수술
672,한비 쌀소주
673,한비 오가피술
674,한비 유자술
675,한비오가피술골드
676,한산 소곡화주
677,한산소곡주
678,한산예담은 한산소곡화주
679,한스오차드 사과와인
680,한주
681,해남진양주
682,해방주
683,해창 막걸리 9도
684,행운 생유자 동동주
685,허니문
686,허니비
687,헤베
688,호담 300ml
689,호담 산양산삼 막걸리
690,호두땅콩막걸리
691,호랑이 생 막걸리
692,호랑이배꼽
693,호모루덴스
694,혼
695,혼디주
696,홍삼명주
697,홍시와인
698,홍천강 탁주
699,"화요 41%, 25%, 17%"
700,화주
701,황감찰
702,황도배기 햅쌀막걸리
703,황진이주
704,희양산 막걸리 15도
705,희양산 막걸리 9도
